Wban Number, YearMonthDay, Max Temp, Min Temp, Avg Temp, Dep from Normal, Avg Dew Pt, Avg Wet Bulb, Heating Degree Days, Cooling Degree Days, Significant Weather, Snow/Ice Depth, Snow/Ice Water Equiv, Precipitation Snowfall, Precipitation Water Equiv, Pressue Avg Station, Pressure Avg Sea Level, Wind Speed, Wind Direction, Wind Avg Speed, Max 5 sec speed, Max 5 sec Dir, Max 2 min speed, Max 2 min Dir
04838,20070101,43,29,  36 ,M   , 29, 34, 29,  0,-,M  ,-,M   ,  T  ,29.24,29.99,  8.4,30,10.8, 30,24, 23,25
04838,20070102,43,25,  34 ,M   , 26, 31, 31,  0,-,M  ,-,M   , 0.00,29.56,30.32,  7.0,21, 7.2, 18,20, 16,21
04838,20070103,48,33,  41 ,M   , 29, 36, 24,  0,HZ ,M  ,-,M   , 0.00,29.33,30.07, 14.0,21,14.0, 30,20, 23,21
04838,20070104,51,39,  45 ,M   , 39, 42, 20,  0,RA FG ,M  ,-,M   , 0.29,29.03,29.75, 16.0,21,16.2, 33,21, 25,18
04838,20070105,50,42,  46*,M   , 43, 45, 19,  0,RA FG HZ ,M  ,-,M   ,  T  ,28.94,29.67,  3.4,23, 6.4, 20,25, 16,24
04838,20070106,42,27,  35 ,M   , 31, 34, 30,  0,RA FG HZ ,M  ,-,M   ,  T  ,29.24,29.99,  5.8,28, 7.2, 21,30, 17,26
04838,20070107,41,23,  32 ,M   , 31, 33, 33,  0,RA FG HZ ,M  ,-,M   , 0.03,29.22,29.98,  5.6,21, 7.6, 29,28, 22,29
04838,20070108,38,26,  32 ,M   , 22, 29, 33,  0,-,M  ,-,M   , 0.00,29.09,29.83,  9.7,27,10.8, 30,28, 24,28
04838,20070109,33,21,  27 ,M   , 15, 24, 38,  0,-,M  ,-,M   , 0.00,29.36,30.11, 14.7,31,14.9, 32,28, 26,30
04838,20070110,36,18,  27 ,M   , 14, 22, 38,  0,-,M  ,-,M   , 0.00,29.51,30.27,  8.7,19,11.1, 31,20, 23,20
04838,20070111,46,35,  41 ,M   , 29, 36, 24,  0,FG ,M  ,-,M   ,  T  ,29.22,29.96, 17.2,20,17.3, 37,21, 26,20
04838,20070112,47,32,  40 ,M   , 39, 40, 25,  0,RA SN FG ,M  ,-,M   , 0.09,29.39,30.14,  3.9,34, 7.6, 22,21, 16,21
04838,20070113,33,28,  31 ,M   , 24, 28, 34,  0,FG ,M  ,-,M   ,  T  ,29.59,30.35,  9.0,1, 9.2, 30,4, 20,3
04838,20070114,33,29,  31 ,M   , 28, 30, 34,  0,RA FZRA SN FG UP HZ ,M  ,-,M   , 0.25,29.49,30.24,  7.5,3, 8.7, 25,5, 16,6
04838,20070115,33,20,  27 ,M   , 24, 26, 38,  0,RA FZRA SN FG+ FG FZFG HZ,M  ,-,M   , 0.12,29.31,30.06,  9.7,35,10.8, 23,35, 16,33
04838,20070116,23,10,  17 ,M   ,  8, 14, 48,  0,FG HZ ,M  ,-,M   ,  T  ,29.77,30.54,  9.0,32, 9.2, 20,33, 16,33
04838,20070117,22,7,  15 ,M   ,  9, 14, 50,  0,HZ ,M  ,-,M   , 0.00,29.81,30.60,  7.8,21, 8.3, 23,20, 18,20
04838,20070118,30,22,  26 ,M   , 23, 26, 39,  0,SN FG HZ ,M  ,-,M   ,  T  ,29.37,30.12,  9.1,23,11.2, 24,31, 20,30
04838,20070119,27,16,  22 ,M   , 13, 20, 43,  0,HZ ,M  ,-,M   , 0.00,29.48,30.24, 11.5,29,12.0, 28,31, 23,29
04838,20070120,26,8,  17 ,M   , 10, 16, 48,  0,-,M  ,-,M   , 0.00,29.62,30.39,  1.8,33, 4.6, 12,33,  9,12
04838,20070121,29,26,  28 ,M   , 25, 27, 37,  0,FZRA SN FG FZFG UP ,M  ,-,M   , 0.03,29.28,30.04,  3.2,12, 4.4, 14,14, 10,13
