WBAN;YearMonthDay;Tmax;Tmin;Tavg;Depart;DewPoint;WetBulb;Heat;Cool;Sunrise;Sunset;CodeSum;Depth;Water1;SnowFall;PrecipTotal;StnPressure;SeaLevel;ResultSpeed;ResultDir;AvgSpeed;Max5Speed;Max5Dir;Max2Speed;Max2Dir
4838;20070501;81;50;66;M;50;55;0;1;-;-; ;M;M;M;0.00;29.15;29.84;0.9;35;6.8;25;290;20;290
4838;20070502;57;42;50;M;42;47;15;0;-;-; ;M;M;M;0.00;29.42;30.11;11.5;4;11.6;28;20;21;30
4838;20070503;62;45;54;M;41;47;11;0;-;-; ;M;M;M;0.00;29.45;30.15;8.0;7;8.4;21;50;17;50
4838;20070504;63;47;55;M;41;49;10;0;-;-;RA;M;M;M;  T;29.36;30.07;7.5;7;8.0;16;120;14;70
4838;20070505;65;51;58;M;38;48;7;0;-;-; ;M;M;M;  T;29.45;30.13;8.3;7;8.7;23;80;16;90
4838;20070506;64;46;55;M;31;45;10;0;-;-; ;M;M;M;0.00;29.62;30.31;10.1;11;10.6;28;120;21;120
4838;20070507;82;46;64;M;42;54;1;0;-;-; ;M;M;M;  T;29.41;30.13;7.2;18;8.7;23;170;18;170
4838;20070508;80;55;68;M;58;62;0;3;-;-;BR HZ;M;M;M;0.00;29.34;30.05;1.6;9;4.0;15;120;12;130
4838;20070509;76;59;68;M;59;62;0;3;-;-;BR HZ;M;M;M;0.07;29.26;29.95;2.5;10;4.4;16;150;14;150
4838;20070510;84;52;68;M;53;60;0;3;-;-;BR HZ;M;M;M;0.00;29.24;29.93;0.6;5;2.7;13;320;10;250
4838;20070511;64;50;57;M;43;51;8;0;-;-; ;M;M;M;0.00;29.37;30.05;9.7;2;10.1;26;10;21;20
4838;20070512;63;45;54;M;36;45;11;0;-;-; ;M;M;M;0.00;29.54;30.22;10.1;3;10.5;24;20;20;30
4838;20070513;67;41;54;M;35;46;11;0;-;-; ;M;M;M;0.00;29.53;30.25;4.0;12;4.6;18;110;13;120
4838;20070514;90;53;72;M;48;59;0;7;-;-; ;M;M;M;0.00;29.26;29.97;14.0;21;14.5;32;250;25;230
4838;20070515;80;49;65;M;56;60;0;0;-;-;RA BR;M;M;M;0.53;29.17;29.85;6.3;27;10.4;28;280;22;280
4838;20070516;63;43;53;M;43;47;12;0;-;-;RA BR VCTS;M;M;M;0.20;29.37;30.04;6.0;36;9.2;25;330;20;340
4838;20070517;60;40;50;M;35;44;15;0;-;-; ;M;M;M;0.00;29.60;30.29;7.7;3;8.5;26;40;21;30
4838;20070518;72;39;56;M;31;46;9;0;-;-; ;M;M;M;0.00;29.57;30.26;3.8;23;5.3;20;230;14;210
4838;20070519;80;54;67;M;40;54;0;2;-;-; ;M;M;M;0.00;29.38;30.09;7.7;24;9.4;23;230;17;260
